
     Time (days)       Flux       Uncertainty
     12.28518100     34063.510      130.879
     12.28587544     33975.881      130.875
     12.28656988     34086.077      130.899
     12.28726433     34058.978      130.883
     12.28795877     34075.531      130.889
     12.28865322     34076.766      130.885
     12.28934766     34054.659      130.856
     12.29004211     34136.595      130.855
     12.29073655     34132.684      130.877
     12.29143100     33974.480      130.937
     12.29212544     34162.789      130.967
     12.29281988     34028.646      130.865
     12.29351433     34239.588      130.859
     12.29420877     33957.391      130.909
     12.29490322     33864.299      130.941
     12.29559766     33824.060      130.910
     12.29629211     34164.276      130.882
     12.29698655     34267.520      130.856
     12.29768100     34221.504      130.829
     12.29837544     34010.107      130.895
     12.29906988     34171.938      130.905
     12.29976433     34187.196      130.809
     12.30045877     34246.977      130.914
     12.30115322     33924.556      130.977
     12.30184766     34254.540      130.861
     12.30254211     34122.017      130.951
     12.30323655     34302.511      130.909
     12.30393100     33784.795      130.876
     12.30462544     34098.543      130.952
     12.30531988     34149.052      130.919
     12.30601433     34302.850      130.965
     12.30670877     34179.957      131.061
     12.30740322     34186.703      131.031
     12.30809766     34077.156      131.146
     12.30879211     34317.300      131.176
     12.30948655     34198.886      131.309
     12.31018100     34275.011      131.428
     12.31087544     34366.286      131.441
     12.31156988     34521.813      131.504
     12.31226433     34476.674      131.563
     12.31295877     34710.435      131.664
     12.31365322     34498.369      131.748
     12.31434766     34432.717      131.803
     12.31504211     34521.810      131.872
     12.31573655     34600.190      131.931
     12.31643100     34486.808      132.002
     12.31712544     34635.071      132.016
     12.31781988     34733.799      132.078
     12.31851433     34687.097      132.123
     12.31920877     34804.112      132.122
     12.31990322     34785.556      132.154
     12.32059766     34790.875      132.098
     12.32129211     34530.815      132.066
     12.32198655     34693.006      132.079
     12.32268100     34710.010      132.101
     12.32337544     34881.270      132.111
     12.32406988     34771.416      132.086
     12.32476433     35007.550      132.075
     12.32545877     34824.035      132.149
     12.32615322     34814.745      132.041
     12.32684766     34954.813      132.085
     12.32754211     34679.016      132.116
     12.32823655     34957.375      132.112
     12.32893100     34572.964      132.081
     12.32962544     35018.577      131.990
     12.33031988     34680.310      132.075
     12.33101433     34579.937      132.065
     12.33170877     34600.665      132.105
     12.33240322     34646.022      132.119
     12.33309766     34616.961      132.091
     12.33379211     34716.446      132.042
     12.33448655     34469.216      132.137
     12.33518100     34955.167      132.111
