RA ,DEC, BMAG, D
225.2887 , 44.6981 ,14.35 ,    7.40
187.1908 , 44.8644 ,12.26 ,    9.59
174.0267 , 45.2853 ,14.38 ,    3.03
184.3758 , 45.6194 ,11.59 ,    7.90
123.4954 , 45.7422 ,13.07 ,   12.20
185.3125 , 45.8114 ,13.55 ,    7.06
123.3113 , 45.9906 ,12.27 ,   12.20
185.1587 , 46.2917 ,13.30 ,    8.05
182.4971 , 46.4572 ,12.05 ,    7.24
184.5462 , 46.9169 ,16.83 ,    6.54
202.4696 , 47.2344 , 8.61 ,    8.40
202.4946 , 47.2681 ,10.45 ,    7.66
184.7396 , 47.3039 , 9.10 ,    7.83
184.4579 , 47.4092 ,13.14 ,    7.40
187.4708 , 47.5300 ,14.13 ,    7.14
145.0817 , 47.7772 ,17.00 ,    7.88
 53.0296 , 47.7936 ,15.00 ,    5.40
203.5121 , 47.9153 ,14.33 ,    8.00
123.1646 , 48.6125 ,17.10 ,   12.42
205.5838 , 48.6825 ,16.30 ,    7.44
123.6671 , 49.0617 ,12.26 ,   12.40
267.3650 , 70.1447 ,10.86 ,    5.27
287.1762 , 70.2839 ,15.60 ,    4.73
157.6458 , 70.6194 ,13.49 ,    4.00
124.7667 , 70.7142 ,11.10 ,    3.39
 68.2079 , 71.8811 ,12.11 ,    3.45
197.1425 , 78.9369 ,14.75 ,    1.99
165.0775 , 13.9011 ,11.12 ,   12.08
161.8429 , 14.0703 ,14.40 ,    7.73
169.8162 , 14.2903 ,17.40 ,   10.42
183.9846 , 14.4331 ,15.01 ,    9.10
298.0492 , 14.4733 ,16.90 ,    7.13
186.4458 , 14.9519 ,15.50 ,    7.90
159.2700 , 15.3375 ,16.40 ,   10.40
 24.1721 , 15.7867 , 9.79 ,    7.31
 16.8429 , 16.6839 ,14.22 ,    4.51
 22.1967 , 16.6881 ,14.81 ,    7.30
115.4792 , 16.8006 ,13.62 ,    8.05
156.2704 , 17.1636 ,11.73 ,    7.90
 51.0300 , 17.7542 ,14.64 ,    6.40
 23.1762 , 18.3158 ,14.48 ,    7.55
164.5092 , 19.5053 ,15.60 ,    7.37
183.8100 , 20.6586 ,12.90 ,    8.00
143.0400 , 21.5006 , 9.53 ,    8.87
194.1842 , 21.6847 , 9.30 ,    4.37
184.3917 , 22.5403 ,14.09 ,   17.20
157.0871 , 22.5714 ,14.65 ,   11.40
187.0121 , 22.5894 ,16.19 ,    9.20
187.1838 , 22.8225 ,12.93 ,    8.40
 31.0208 , 24.2078 ,14.51 ,    7.20
160.8758 , 24.9236 ,10.45 ,    6.85
203.1262 , 25.1236 ,16.60 ,    6.80
 44.9267 , 25.2375 ,12.32 ,    7.80
138.8575 , 25.4194 ,18.60 ,   21.70
191.7308 , 26.5642 ,15.25 ,   11.00
186.3246 , 26.7147 ,15.41 ,   12.80
157.2767 , 26.9106 ,19.10 ,   21.50
181.2158 , 26.9925 ,13.70 ,   15.00
155.9375 , 27.1108 ,16.60 ,   13.50
 26.8754 , 27.3311 ,12.07 ,    7.20
 26.9717 , 27.4336 ,11.31 ,    7.20
158.0712 , 27.6686 ,13.21 ,    7.98
 41.6621 , 27.7264 ,17.08 ,    8.56
186.5975 , 27.7456 ,16.40 ,   14.00
 33.5154 , 27.8772 ,13.30 ,    9.73
132.8004 , 27.8800 ,17.20 ,    6.10
188.9904 , 27.9597 ,10.28 ,    8.10
181.3925 , 28.2322 ,16.70 ,    6.74
178.8479 , 28.3400 ,16.35 ,    7.45
192.6133 , 28.3528 ,16.20 ,   20.40
181.3471 , 28.3656 ,15.20 ,    6.69
191.1587 , 28.4725 ,14.82 ,    9.90
124.8354 , 50.0097 ,12.69 ,   12.40
150.1062 , 50.3792 ,17.10 ,    7.97
120.4717 , 50.7372 ,12.23 ,   12.40
139.8921 , 51.1092 ,15.17 ,   20.60
116.8838 , 51.1914 ,14.80 ,    7.10
183.8483 , 51.3500 ,14.79 ,   12.90
142.2067 , 51.5606 ,16.00 ,   19.68
191.7350 , 51.6131 ,14.60 ,    8.90
140.8208 , 51.9731 ,16.20 ,    7.35
181.0100 , 52.5886 ,13.19 ,    4.31
139.0092 , 52.8400 ,13.80 ,    1.36
186.7192 , 53.1053 ,16.10 ,    5.35
168.3587 , 53.5950 ,15.60 ,    9.90
211.2587 , 53.6631 ,11.48 ,    7.20
208.6879 , 53.9047 ,13.76 ,    7.21
210.8033 , 54.3506 , 8.31 ,    7.38
211.3879 , 54.4608 ,14.19 ,    7.70
173.9525 , 54.5228 ,11.87 ,    4.90
167.8792 , 55.6739 ,10.69 ,    9.90
214.9512 , 56.7303 ,11.20 ,    5.70
312.7904 , 56.8900 ,15.40 ,    6.00
218.8525 , 57.2567 ,14.52 ,    8.02
315.8508 , 57.2872 ,15.70 ,    5.89
186.5337 , 58.3225 ,14.50 ,   10.50
202.4017 , 58.4178 ,11.73 ,    4.66
 44.2338 , 58.9117 ,15.01 ,    2.80
 40.4771 , 59.6031 ,14.77 ,    2.80
308.7129 , 60.1542 , 9.61 ,    5.89
190.0012 , 61.6081 ,10.89 ,    5.47
 78.5629 , 62.5808 ,12.14 ,    3.15
289.1742 , 63.9728 ,13.76 ,    3.63
153.2017 , 64.1075 ,15.60 ,    3.70
 67.7046 , 64.8481 ,11.79 ,    3.06
114.2142 , 65.5994 , 8.80 ,    3.18
149.7021 , 66.8497 ,16.00 ,    4.04
 59.9562 , 67.1253 ,13.50 ,    2.96
196.6117 , 67.7042 ,13.31 ,    4.57
146.8150 , 67.9136 ,11.01 ,    3.56
 56.7037 , 68.0958 , 9.37 ,    3.28
141.3004 , 68.3831 ,15.00 ,    8.24
157.0933 , 68.4161 ,10.80 ,    4.02
150.8375 , 68.7339 ,10.62 ,    3.82
148.8896 , 69.0667 , 7.79 ,    3.63
139.8275 , 69.2033 ,11.82 ,    7.48
184.1804 , 69.4656 ,10.05 ,    4.45
148.9746 , 69.6825 , 9.06 ,    3.53
 30.3200 , 28.8436 ,12.22 ,    4.97
185.8083 , 28.8939 ,15.25 ,   24.40
166.2438 , 29.1394 ,15.61 ,    8.02
151.1708 , 29.3664 ,14.89 ,    7.11
183.3446 , 29.9217 ,15.60 ,   17.30
182.3237 , 29.9275 ,11.69 ,    7.90
 23.4617 , 30.6603 , 6.27 ,    0.85
354.5604 , 30.7092 ,14.81 ,   12.20
181.3162 , 30.8556 ,15.02 ,   12.70
182.2992 , 30.9067 ,16.80 ,   16.80
180.0675 , 31.2250 ,15.05 ,   23.20
181.6438 , 31.3425 ,15.80 ,    7.43
178.9142 , 31.5194 ,14.84 ,   16.60
181.9583 , 31.5522 ,17.50 ,    7.37
188.2783 , 32.0917 ,14.10 ,   10.10
190.9900 , 32.1703 ,10.96 ,    5.40
184.3833 , 32.5325 ,18.20 ,    5.93
190.5333 , 32.5414 , 9.75 ,    7.38
 27.3846 , 32.5925 ,12.87 ,    4.94
191.7525 , 32.6514 ,16.80 ,   23.40
