|name             |ra        |dec      |bmag |ks_mag|ks_mag_flag|linear_diameter|distance|radial_velocity|abs_bmag|
|NGC1800          |05 06 25.7|-31 57 15|13.13| 10.21|           |           4.59|    8.00|            814|   -16.5|
|[KK2000] 54      |13 21 32.4|-31 53 11|18.13| 15.51|C          |           0.93|    4.60|               |   -10.5|
|KK246            |20 03 57.4|-31 40 54|17.06| 13.30|           |           2.65|    7.83|            435|   -13.7|
|HIPASS J1131-31  |11 31 35.2|-31 40 20|17.00| 14.38|C          |           2.04|    6.70|            715|   -12.4|
|NGC5253          |13 39 55.8|-31 38 24|10.87|  8.29|           |           7.27|    3.56|            407|   -17.1|
|KK195            |13 21 08.2|-31 31 47|17.10| 14.50|           |           1.11|    5.22|            572|   -11.8|
|KK200            |13 24 36.0|-30 58 20|16.67| 13.42|           |           1.55|    4.63|            494|   -12.0|
|KK258            |22 40 43.9|-30 47 59|16.30| 12.15|C          |           0.98|    2.00|               |   -10.3|
|Sag dSph         |18 55 03.1|-30 28 42| 4.50| -0.20|C          |           3.08|    0.02|            140|   -12.7|
|IC4247           |13 26 44.4|-30 21 45|14.41| 11.25|           |           2.45|    4.97|            420|   -14.3|
|KK218            |13 46 39.5|-29 58 45|17.60| 13.26|C          |           1.14|    4.60|               |   -11.0|
|NGC5264          |13 41 37.0|-29 54 50|12.60|  9.50|           |           4.69|    4.53|            478|   -15.9|
|NGC5236          |13 37 00.1|-29 52 04| 8.20|  4.62|           |          28.19|    4.92|            519|   -20.6|
|KK208            |13 36 35.5|-29 34 15|14.30| 10.03|C          |           8.19|    4.68|               |   -14.2|
|UGCA365          |13 36 30.8|-29 14 11|15.49| 12.64|           |           2.46|    5.25|            577|   -13.3|
|Milky Way        |17 45 40.0|-29 00 28|-4.60|      |C          |               |    0.01|              0|   -19.1|
|IC4316           |13 40 18.1|-28 53 40|14.56| 10.96|           |           2.71|    4.41|            576|   -13.9|
|HIZSS021         |07 46 16.5|-28 28 11|17.50| 11.13|C          |           1.76|    3.00|            494|   -14.3|
|ESO443-009       |12 54 53.6|-28 20 27|17.01| 14.40|C          |           1.25|    5.78|            645|   -12.1|
|CGMW2-3473       |08 25 12.9|-28 08 25|15.22| 11.93|C          |           2.04|    7.40|            837|   -15.2|
|ESO409-015       |00 05 31.8|-28 05 53|15.15| 12.74|C          |           2.65|    7.70|            726|   -14.4|
|ESO444-084       |13 37 20.2|-28 02 46|15.06| 12.60|           |           1.91|    4.61|            587|   -13.6|
|NGC1592          |04 29 40.8|-27 24 31|14.45| 12.66|           |           3.75|    9.10|            945|   -15.5|
|Antlia           |10 04 04.0|-27 19 55|16.19| 12.73|           |           0.81|    1.32|            362|    -9.8|
|MCG -04-31-038   |13 09 36.6|-27 08 26|15.09| 10.80|           |           2.45|    7.80|            684|   -14.7|
|NGC3037          |09 51 24.0|-27 00 40|13.64| 11.12|           |           3.28|    8.10|            887|   -16.3|
|ESO499-038       |10 03 50.2|-26 36 46|15.68| 13.06|C          |           3.86|   15.30|            885|   -15.5|
|ESO495-021       |08 36 15.2|-26 24 34|12.45|  9.00|           |           5.31|    7.96|            868|   -17.6|
|ESO496-010       |08 49 06.0|-26 19 12|14.83| 11.90|           |           2.56|    7.80|            814|   -15.1|
|ESO489-056       |06 26 17.0|-26 15 56|15.70| 13.09|C          |           1.09|    4.99|            492|   -13.1|
|NGC3109          |10 03 07.2|-26 09 36|10.39|  7.50|           |           7.66|    1.32|            403|   -15.7|
|NGC1744          |04 59 58.2|-26 01 36|11.71|  9.78|           |          20.41|   10.00|            741|   -18.8|
|ESO490-017       |06 37 56.6|-25 59 59|14.01| 12.00|           |           2.22|    4.23|            505|   -14.5|
|ESO486-021       |05 03 19.7|-25 25 23|14.37| 11.43|           |           4.49|   10.00|            831|   -15.8|
|NGC0253          |00 47 34.3|-25 17 32| 7.92|  3.77|           |          40.83|    3.94|            243|   -21.3|
|LV J0939-2507    |09 39 35.0|-25 07 35|15.50| 12.92|C          |           1.17|    6.15|            741|   -13.7|
|NGC0024          |00 09 56.4|-24 57 48|12.38|  8.96|           |          19.98|    9.90|            550|   -18.3|
|ESO501-023       |10 35 23.2|-24 45 15|13.20| 10.34|C          |           7.41|    7.00|           1042|   -16.3|
|Sc22             |00 23 51.7|-24 42 18|17.73| 13.57|C          |           1.15|    4.21|               |   -10.5|
|HIZSS008         |07 25 22.0|-24 28 31|16.90|  8.50|           |          10.56|    7.43|            800|   -18.8|
|KK73             |09 12 29.3|-24 14 28|16.35| 10.62|           |           2.22|    9.80|               |   -14.5|
|NGC2784 dw01     |09 12 18.5|-24 12 40|17.27| 12.36|C          |           3.29|    9.80|               |   -13.6|
|NGC2784          |09 12 19.4|-24 10 18|11.24|  6.33|           |          19.27|    9.82|            687|   -19.7|
|KK72             |09 11 42.3|-23 58 56|18.00| 13.17|C          |           1.60|    9.80|               |   -12.8|
|ESO497-004       |09 03 03.1|-23 48 30|16.36| 12.79|C          |           7.28|   19.00|            806|   -16.1|
|ESO495-008       |08 21 00.7|-23 46 53|16.06| 13.21|C          |           3.68|   17.30|            789|   -15.7|
|AM1320-230       |13 23 29.9|-23 23 35|17.53| 13.11|C          |           1.00|    4.60|               |   -11.1|
|KK71             |09 09 10.9|-23 22 04|17.70| 12.90|C          |           1.41|    9.80|               |   -13.0|
|HIPASS J0916-23b |09 16 58.0|-23 16 47|15.84| 13.06|C          |           2.11|   10.30|            837|   -14.7|
|NGC0045          |00 14 03.9|-23 10 56|11.55|  9.09|           |          22.88|    9.20|            465|   -18.5|
|ESO483-013       |04 12 41.1|-23 09 32|14.06| 10.84|           |           3.49|    7.40|            898|   -15.5|
|DDO056           |09 09 46.6|-23 00 33|15.63| 12.60|C          |           4.23|    9.80|            724|   -15.1|
|LV J0944-2254    |09 44 20.1|-22 54 58|16.83| 14.18|C          |           0.59|    6.05|            729|   -12.4|
|ESO473-024       |00 31 22.5|-22 45 57|16.38| 13.96|C          |           4.44|    9.90|            530|   -13.7|
|DDO062           |09 21 27.5|-22 30 02|14.80| 11.72|C          |          13.67|   18.60|            846|   -17.1|
|NGC2835          |09 17 52.9|-22 21 19|11.01|  7.92|           |          28.90|   10.30|            885|   -19.7|
|DDO226           |00 43 03.8|-22 15 01|14.90| 12.48|           |           3.12|    4.92|            359|   -13.6|
|ESO558-011       |07 06 56.8|-22 02 26|14.43| 10.20|C          |           6.20|    8.40|            731|   -17.0|
|HIZSS012         |07 30 08.3|-22 01 01|19.00|  9.00|           |          35.87|    7.20|            779|   -18.6|
|HIPASS J0801-21  |08 01 25.4|-21 59 51|17.20| 13.97|C          |           1.06|    6.34|            730|   -12.8|
|NGC0059          |00 15 25.1|-21 26 38|12.97| 10.10|           |           3.52|    5.30|            361|   -15.7|
