|name             |ra        |dec      |bmag |ks_mag|ks_mag_flag|linear_diameter|distance|radial_velocity|abs_bmag|
|LeoA             |09 59 26.4|+30 44 47|12.92| 10.49|C          |           1.35|    0.81|             24|   -11.7|
|And XXIX         |23 58 55.6|+30 45 20|17.00| 12.72|C          |           0.59|    0.73|               |    -7.5|
|IC2992           |12 05 15.9|+30 51 20|15.02| 12.44|           |           3.11|   12.70|            599|   -15.6|
|UGC07131         |12 09 11.8|+30 54 24|16.80| 13.95|C          |           7.71|   16.80|            253|   -14.6|
|And XXVIII       |22 32 41.2|+31 12 58|16.70| 12.27|C          |           0.34|    0.65|               |    -7.7|
|KUG 1157+315     |12 00 16.2|+31 13 30|15.05| 12.88|           |           5.55|   23.20|            617|   -17.0|
|MAPS1206+31      |12 06 34.5|+31 20 33|15.80| 13.12|C          |           1.56|    7.43|            568|   -13.6|
|KK78             |09 50 19.6|+31 27 24|17.68| 15.25|C          |           0.84|    7.10|            539|   -11.7|
|DDO064           |09 50 22.4|+31 29 15|14.46| 12.45|           |           4.45|    7.11|            521|   -14.9|
|KDG082           |11 55 39.4|+31 31 10|14.84| 12.09|C          |           9.22|   16.60|            590|   -16.4|
|DDO133           |12 32 53.0|+31 32 21|13.53| 11.12|C          |           5.01|    4.85|            330|   -15.0|
|DDO083           |10 36 43.3|+31 32 48|15.41| 13.41|           |           6.36|   10.90|            582|   -14.9|
|LV J1207+3133    |12 07 50.0|+31 33 08|17.50| 14.82|C          |           1.39|    7.37|            562|   -11.9|
|KK165            |12 48 52.7|+31 58 13|17.50| 13.34|C          |           1.15|    5.40|               |   -11.2|
|KUG 0821+321     |08 25 05.0|+32 01 03|16.80| 14.27|C          |           1.65|    8.15|            642|   -13.0|
|NGC4509          |12 33 06.8|+32 05 30|14.10| 11.50|           |           2.68|   10.10|            934|   -16.0|
|NGC4656          |12 43 57.6|+32 10 13|10.96|  8.00|           |          19.00|    5.40|            638|   -18.2|
|UGC05209         |09 45 04.2|+32 14 18|16.06| 13.64|C          |           1.61|    6.56|            535|   -13.1|
|And XVI          |00 59 29.8|+32 22 36|15.70| 11.33|C          |           0.29|    0.52|           -385|    -8.2|
|BTS151           |12 43 24.6|+32 28 56|17.40| 13.24|C          |           1.65|    7.30|               |   -12.0|
|LV J1217+3231    |12 17 32.0|+32 31 57|18.20| 15.80|C          |           1.13|    5.93|            447|   -10.7|
|LV J1243+3232    |12 43 44.6|+32 32 04|19.00| 14.84|C          |           0.75|    7.30|               |   -10.4|
|NGC4631          |12 42 08.0|+32 32 29| 9.75|  6.47|           |          33.69|    7.38|            583|   -20.3|
|NGC4627          |12 41 59.7|+32 34 25|13.01|  8.85|C          |           3.89|    7.30|            542|   -16.4|
|UGC01281         |01 49 32.3|+32 35 33|12.87| 10.50|           |           7.88|    4.94|            157|   -16.1|
|FGC1497          |12 47 00.6|+32 39 05|16.80| 14.13|C          |           6.88|   23.40|            519|   -15.1|
|NGC3413          |10 51 20.7|+32 45 59|13.23| 10.36|C          |           7.72|   12.02|            634|   -17.5|
|UGCA292          |12 38 40.0|+32 46 00|16.07| 14.24|           |           1.08|    3.61|            308|   -11.8|
|UGC01703         |02 12 55.8|+32 48 51|17.00| 12.52|C          |           1.05|    4.19|               |   -11.5|
|LV J1241+3251    |12 41 47.3|+32 51 28|16.40| 13.98|C          |           1.68|    7.30|            693|   -13.0|
|Bol520           |00 50 42.4|+32 54 59|16.28| 13.31|           |           0.04|    0.63|           -312|    -8.1|
|LV J1203+3257    |12 03 10.9|+32 57 22|16.70| 14.02|C          |           2.09|    7.55|            570|   -12.8|
|And XIII         |00 51 51.0|+33 00 16|18.20| 13.78|C          |           0.35|    0.84|           -195|    -6.8|
|UGC05186         |09 42 59.8|+33 15 52|16.27| 13.87|C          |           3.18|    8.30|            546|   -13.4|
|UGC04787         |09 07 34.9|+33 16 36|14.60| 11.69|C          |          14.08|   20.30|            553|   -17.3|
|UGC03476         |06 30 29.2|+33 18 07|15.98| 12.70|C          |           3.59|    7.01|            469|   -14.3|
|KKH78            |12 17 44.5|+33 20 43|17.70| 15.30|C          |           0.61|    4.70|               |   -10.7|
|KK152            |12 33 24.9|+33 21 05|16.30| 13.88|C          |           2.12|    6.90|            838|   -13.0|
|NGC2683          |08 52 40.9|+33 25 02|10.34|  6.33|           |          29.52|    7.73|            411|   -20.4|
|And II           |01 16 29.8|+33 25 09|15.10| 10.75|C          |           0.57|    0.65|           -194|    -9.2|
|d0226+3325       |02 26 52.8|+33 25 37|17.50| 14.86|C          |           4.80|    9.30|            520|   -12.7|
|DDO025           |02 33 18.2|+33 29 28|13.96| 10.98|C          |           7.57|    9.30|            604|   -16.3|
|NGC4395          |12 25 49.8|+33 32 46|10.64|  8.00|           |          17.83|    4.61|            313|   -17.8|
|CVnI             |13 28 03.5|+33 33 21|13.94|  9.79|C          |           0.93|    0.22|             31|    -7.9|
|KK70             |08 55 22.0|+33 33 33|17.70| 13.48|C          |           1.17|    7.70|               |   -11.9|
|NGC0925          |02 27 16.0|+33 34 41|10.58|  7.87|           |          33.32|    9.29|            553|   -19.9|
|MAPS1236+33      |12 36 49.4|+33 36 48|16.90| 14.49|C          |           1.88|   11.70|            526|   -13.5|
|KKH18            |03 03 05.9|+33 41 40|16.70| 13.56|C          |           1.07|    4.43|            216|   -12.4|
|LV J0926+3343    |09 26 09.4|+33 43 04|17.80| 15.13|C          |           4.69|   19.70|            540|   -13.8|
|KK69             |08 52 50.7|+33 47 52|17.40| 14.93|C          |           3.15|    7.70|            462|   -12.2|
|And XI           |00 46 20.0|+33 48 05|18.50| 14.08|C          |           0.26|    0.73|           -419|    -6.2|
|KK141            |12 22 52.7|+33 49 43|16.60| 14.20|C          |           0.90|    7.78|            573|   -12.9|
|Halogas          |02 27 20.0|+33 57 30|18.00| 15.35|C          |           1.23|    9.30|            528|   -12.2|
|CVnII            |12 57 10.0|+34 19 15|16.95| 12.81|C          |           0.11|    0.16|           -129|    -4.1|
|And XII          |00 47 27.0|+34 22 29|18.70| 14.15|C          |           0.53|    0.83|           -556|    -6.4|
|DDO143           |12 44 25.1|+34 23 11|16.00| 13.58|C          |           5.79|    9.10|            607|   -13.9|
|DDO084           |10 42 41.9|+34 26 56|13.73| 11.17|           |          10.64|    8.11|            630|   -15.9|
|NGC4861          |12 59 02.0|+34 51 37|12.90| 10.46|C          |           7.48|    7.30|            842|   -16.5|
|And XIX          |00 19 32.1|+35 02 37|16.80| 12.45|C          |           1.81|    0.93|           -111|    -8.3|
|UGC7427          |12 21 55.0|+35 03 05|15.90| 13.50|C          |           3.00|    9.70|            726|   -14.1|
|KK230            |14 07 10.7|+35 03 37|17.50| 14.55|           |           0.47|    2.14|             63|    -9.2|
|And XX           |00 07 30.7|+35 07 56|19.00| 14.67|C          |           0.20|    0.80|           -456|    -5.8|
|NGC4534          |12 34 05.5|+35 31 06|13.20| 11.21|           |           8.56|    9.80|            802|   -16.9|
|KK166            |12 49 13.3|+35 36 45|17.62| 13.47|C          |           0.83|    4.74|               |   -10.8|
|NGC0404          |01 09 26.9|+35 43 03|11.21|  7.53|           |           3.25|    3.05|            -50|   -16.5|
|UGC07605         |12 28 39.0|+35 43 05|14.76| 12.40|           |           1.91|    4.43|            310|   -13.5|
|UGC08833         |13 54 48.7|+35 50 15|15.30| 12.31|           |           1.06|    3.08|            221|   -12.2|
|UGC7257          |12 15 03.0|+35 57 31|14.36| 12.25|           |           3.44|    8.80|            956|   -15.5|
|DDO019           |02 25 00.2|+36 02 16|15.80| 13.14|C          |           6.10|    9.30|            577|   -14.4|
|HS1053+3624      |10 56 40.4|+36 08 28|17.76| 15.34|C          |           1.32|    9.20|            572|   -12.1|
|NGC4163          |12 12 08.9|+36 10 10|13.63| 10.88|           |           1.89|    2.94|            162|   -13.8|
|KDG090           |12 14 57.9|+36 13 08|15.86| 13.43|C          |           1.31|    2.86|               |   -11.5|
|VV747            |10 57 47.0|+36 15 39|15.50| 13.07|C          |           2.92|    9.20|            619|   -14.4|
|NGC4214          |12 15 38.9|+36 19 39|10.24|  8.14|           |           7.34|    2.94|            291|   -17.2|
|LV J0954+3620    |09 54 50.6|+36 20 02|17.93| 15.54|C          |           1.51|   15.40|            503|   -13.1|
|KUG 1033+366B    |10 36 17.6|+36 25 31|17.00| 14.58|C          |           1.40|    8.10|            620|   -12.6|
|MCG +06-27-017   |12 09 56.4|+36 26 07|15.50| 12.00|           |           1.31|    4.83|            339|   -13.0|
|DDO147           |12 46 59.8|+36 28 35|15.12| 12.70|C          |           2.29|    5.40|            331|   -13.6|
|LV J1052+3628    |10 52 05.5|+36 28 36|17.90| 15.50|C          |           1.18|    9.20|            476|   -12.0|
|And III          |00 35 33.8|+36 29 52|15.20| 11.01|C          |           0.79|    0.75|           -346|    -9.3|
|UGC05983         |10 52 17.5|+36 35 36|16.00| 13.60|C          |           2.91|    9.20|            765|   -13.9|
|NGC3432          |10 52 31.1|+36 37 08|11.67|  9.06|           |          13.70|    9.20|            611|   -19.0|
|NGC4190          |12 13 44.6|+36 38 00|13.50| 10.79|           |           1.79|    2.82|            235|   -13.9|
|LV J1052+3639    |10 52 40.8|+36 39 54|15.80| 13.40|C          |           4.38|    9.20|            511|   -14.1|
|MRK0475          |14 39 05.4|+36 48 22|16.41| 14.01|C          |           1.19|    9.20|            583|   -13.5|
|DDO126           |12 27 05.1|+37 08 33|14.12| 11.53|           |           4.07|    4.88|            217|   -14.4|
|DDO127           |12 28 28.5|+37 14 00|14.98| 12.57|C          |           3.21|    6.89|            275|   -14.3|
|IC4182           |13 05 49.3|+37 36 21|12.02|  9.72|           |           9.12|    4.70|            321|   -16.4|
|UGC07699         |12 32 48.0|+37 37 18|13.30| 11.15|           |          16.11|   14.50|            495|   -18.0|
|NGC4244          |12 17 29.9|+37 48 27|10.88|  7.72|           |          23.76|    4.49|            247|   -18.2|
|CGCG 189-050     |13 17 04.9|+37 57 09|15.60| 13.20|C          |           1.25|    5.04|            324|   -13.0|
|KDG105           |12 21 43.0|+37 59 14|16.70| 14.28|C          |           1.83|    7.60|            567|   -12.8|
|BTS146           |12 40 02.1|+38 00 02|17.50| 15.08|C          |           0.83|    8.50|            446|   -12.2|
|DDO183           |13 50 51.1|+38 01 16|14.45| 12.04|C          |           2.18|    3.22|            188|   -13.2|
|And I            |00 45 40.0|+38 02 14|13.90|  9.59|C          |           0.65|    0.73|           -376|   -10.7|
|BTS142           |12 33 07.4|+38 06 58|18.44| 16.04|C          |           0.97|   10.00|            719|   -11.6|
|And XV           |01 14 18.7|+38 07 03|15.90| 11.62|C          |           0.44|    0.76|           -323|    -8.7|
|KUG 1218+387     |12 20 54.9|+38 25 49|15.40| 12.98|C          |           2.76|    8.03|            570|   -14.2|
|IC3687           |12 42 15.1|+38 30 07|13.79| 11.12|           |           6.92|    4.57|            350|   -14.6|
|DDO022           |02 32 54.0|+38 40 50|15.65| 13.11|C          |           4.69|    9.30|            570|   -14.4|
|KKH98            |23 45 34.0|+38 43 04|16.70| 13.82|           |           0.82|    2.45|           -132|   -10.8|
|And XXIII        |01 29 21.8|+38 43 08|15.10| 10.74|C          |           1.65|    0.73|           -243|    -9.5|
|Arp211           |12 37 21.3|+38 44 43|15.74| 13.32|C          |           1.63|    6.61|            458|   -13.4|
|DDO099           |11 50 53.0|+38 52 50|13.70| 11.86|           |           3.23|    2.64|            251|   -13.5|
|KKH58            |10 07 22.7|+38 58 11|15.61| 12.94|C          |           6.63|   18.40|            587|   -15.8|
|UGC7719          |12 34 00.6|+39 01 10|15.25| 12.59|C          |           5.53|    9.20|            679|   -14.6|
|UGC03600         |06 55 40.0|+39 05 42|16.18| 13.22|C          |           4.19|    7.24|            398|   -13.5|
|UGC04704         |08 59 00.3|+39 12 36|15.00| 11.91|C          |          18.17|   15.20|            599|   -16.4|
|UGC12894         |00 00 22.5|+39 29 44|16.80| 14.02|C          |           2.78|    8.47|            335|   -13.3|
|UGC03475         |06 30 28.8|+39 30 14|15.20| 12.52|           |          14.07|   20.00|            487|   -17.3|
|DDO182           |13 42 32.6|+39 39 30|15.69| 13.30|C          |           3.40|    8.90|            663|   -14.1|
|UGC7678          |12 32 00.4|+39 49 55|14.50| 12.48|           |           3.53|    6.90|            679|   -14.8|
|UGC07774         |12 36 22.5|+40 00 19|14.60| 11.11|C          |          19.61|   22.60|            528|   -17.9|
|DDO046           |07 41 25.8|+40 06 45|14.40| 12.20|           |           3.71|    6.85|            364|   -15.0|
|KK227            |13 56 10.1|+40 18 12|17.50| 13.36|C          |           2.06|   10.00|               |   -12.5|
|DDO024           |02 33 43.0|+40 31 41|13.68| 10.86|C          |           7.80|    9.80|            581|   -16.5|
|CGCG 217-018     |13 12 51.8|+40 32 35|14.93| 12.59|           |           2.42|    8.33|            555|   -14.7|
|And IV           |00 42 30.1|+40 34 33|17.18| 14.54|C          |           1.93|    6.31|            237|   -12.1|
|DDO181           |13 39 53.8|+40 44 21|14.22| 11.85|           |           2.06|    3.01|            214|   -13.2|
|NGC3104          |10 03 57.4|+40 45 25|13.97| 11.24|C          |          16.35|   16.00|            603|   -17.2|
|DDO043           |07 28 17.2|+40 46 13|15.12| 13.07|           |           2.45|    5.73|            353|   -13.9|
|NGC7640          |23 22 06.6|+40 50 44|11.61|  8.60|           |          24.98|    7.90|            369|   -19.2|
|MESSIER032       |00 42 42.1|+40 51 59| 8.89|  5.10|           |           1.33|    0.49|           -202|   -14.8|
|UGC00064         |00 07 44.0|+40 52 32|15.50| 12.84|C          |           4.87|    9.60|            305|   -14.8|
|DDO217           |23 29 58.7|+40 59 25|12.84|  9.60|C          |          16.80|    9.70|            424|   -17.8|
|UGC7751          |12 35 11.8|+41 03 39|16.50| 14.05|C          |           2.73|    7.90|            605|   -13.1|
|NGC4736          |12 50 53.5|+41 07 10| 8.70|  5.11|           |          20.68|    4.66|            308|   -19.9|
|NGC4618          |12 41 32.8|+41 09 03|11.31|  8.66|           |           9.68|    7.90|            536|   -18.3|
|LV J1018+4109    |10 18 22.2|+41 09 57|18.40| 14.25|C          |           1.24|   11.10|               |   -11.9|
|KUG 1013+414     |10 16 15.6|+41 09 59|15.40| 12.73|C          |           3.58|   11.12|            518|   -14.9|
|MESSIER031       |00 42 44.5|+41 16 09| 4.29|  0.99|           |          43.45|    0.77|           -296|   -21.4|
|NGC4625          |12 41 52.7|+41 16 26|13.03|  9.75|           |           3.84|    7.90|            606|   -16.5|
|UGC12588         |23 24 42.4|+41 20 53|14.11| 10.89|C          |           4.87|    7.90|            425|   -16.1|
|NGC3184          |10 18 17.0|+41 25 28|10.36|  7.23|           |          24.27|   11.12|            592|   -20.0|
|LV J1243+4127    |12 43 55.7|+41 27 25|17.20| 14.78|C          |           2.40|    6.09|            402|   -11.8|
|KK193            |13 15 31.2|+41 30 05|18.70| 16.29|C          |           1.47|    8.90|               |   -11.1|
|NGC4490          |12 30 36.4|+41 38 37| 9.76|  7.35|           |          10.55|    5.80|            586|   -19.4|
|NGC0205          |00 40 22.5|+41 41 11| 8.72|  5.59|           |           4.92|    0.82|           -221|   -16.1|
|NGC4485          |12 30 31.2|+41 42 00|12.32| 10.58|           |           3.98|    5.80|            480|   -16.7|
|KKH82            |13 12 58.7|+41 47 12|16.40| 14.00|C          |           2.70|    8.06|            529|   -13.2|
|DDO052           |08 28 28.5|+41 51 24|15.27| 12.37|           |           5.23|   10.28|            396|   -15.0|
|NGC5055          |13 15 49.3|+42 01 45| 9.32|  5.61|           |          42.22|    8.99|            500|   -21.0|
|KK191            |13 13 39.7|+42 02 39|18.20| 15.80|C          |           0.74|    6.00|               |   -10.8|
|MAPS1231+42      |12 31 09.0|+42 05 39|17.80| 15.38|C          |           0.56|    5.80|            563|   -11.1|
|KK149            |12 28 52.3|+42 10 40|15.01| 12.56|C          |           2.43|    8.90|            407|   -14.9|
|NGC0891          |02 22 32.8|+42 20 48|10.71|  5.94|           |          37.89|    9.77|            526|   -20.5|
|And XXI          |23 54 47.7|+42 28 15|15.80| 11.33|C          |           1.53|    0.86|           -361|    -9.3|
|LV J1028+4240    |10 28 33.0|+42 40 08|17.40| 15.01|C          |           1.05|    7.55|            547|   -12.0|
|UGC07690         |12 32 26.9|+42 42 15|13.13| 11.40|           |           6.94|   11.20|            536|   -17.3|
|KK151            |12 30 23.8|+42 54 05|15.80| 13.38|C          |           2.10|    6.56|            436|   -13.4|
|And IX           |00 52 52.8|+43 12 00|16.70| 12.30|C          |           1.00|    0.79|           -216|    -8.1|
|DDO129           |12 28 44.2|+43 13 27|13.67| 11.01|C          |           7.37|    8.90|            538|   -16.2|
|UGC02172         |02 42 10.8|+43 21 19|14.60| 12.37|           |           4.13|    9.30|            565|   -15.7|
|KK133            |12 19 32.8|+43 23 11|17.70| 15.30|C          |           1.12|    8.23|            561|   -11.9|
|UGC00288         |00 29 04.0|+43 25 54|15.64| 12.99|C          |           2.21|    6.73|            187|   -13.8|
|UGC07271         |12 15 33.4|+43 26 03|14.90| 13.16|           |          12.59|   18.60|            546|   -16.6|
|DDO125           |12 27 41.8|+43 29 38|12.95| 10.23|           |           3.09|    2.74|            206|   -14.3|
|KK160            |12 43 57.4|+43 39 41|17.43| 14.98|C          |           0.75|    4.31|            293|   -10.9|
|KK109            |11 47 11.2|+43 40 19|18.10| 15.68|C          |           0.59|    4.51|            211|   -10.3|
|LV J1228+4358    |12 28 44.9|+43 58 18|14.20| 11.77|C          |           4.56|    4.07|               |   -13.9|
|NGC5023          |13 12 11.9|+44 02 19|12.85|  9.74|           |          12.97|    6.61|            407|   -17.1|
|NGC4449          |12 28 11.2|+44 05 40| 9.99|  7.25|           |           8.30|    4.21|            201|   -18.3|
|And XVII         |00 37 07.0|+44 19 20|17.70| 13.31|C          |           0.44|    0.74|           -251|    -7.0|
|MAPS1249+44      |12 49 31.0|+44 21 33|17.10| 14.69|C          |           1.06|    7.84|            513|   -12.4|
|UGC03698         |07 09 18.8|+44 22 48|15.41| 12.68|C          |           2.66|    7.24|            421|   -14.3|
|KK194            |13 17 19.5|+44 23 48|17.60| 15.19|C          |           1.82|   10.00|               |   -12.5|
|NGC2337          |07 10 13.6|+44 27 25|13.48| 10.34|           |           6.77|    7.87|            433|   -16.5|
|DDO190           |14 24 43.5|+44 31 33|13.10| 10.72|           |           1.92|    2.74|            150|   -14.1|
|MCG +08-25-028   |13 36 44.8|+44 35 57|15.90| 13.49|C          |           2.13|    7.74|            480|   -13.6|
|UGC09660         |15 01 09.3|+44 41 53|14.35| 11.74|           |           2.56|    7.40|            608|   -15.1|
|And X            |01 06 33.7|+44 48 16|16.70| 12.10|C          |           0.45|    0.63|           -164|    -7.9|
|UGC07320         |12 17 28.5|+44 48 41|15.40| 13.00|C          |           3.15|    9.20|            541|   -14.5|
|UGC07827         |12 39 38.9|+44 49 15|15.96| 13.54|C          |           3.08|    8.50|            553|   -13.8|
|NGC4460          |12 28 45.8|+44 51 52|12.26|  9.06|           |          11.54|    9.59|            499|   -17.7|
|And XVIII        |00 02 14.5|+45 05 20|17.00| 12.49|C          |           0.63|    1.36|           -332|    -9.1|
|UGC03817         |07 22 44.5|+45 06 30|15.96| 11.89|           |           4.62|    8.55|            437|   -14.1|
|NGC3741          |11 36 06.4|+45 17 07|14.38| 12.26|           |           1.30|    3.03|            229|   -13.1|
|And XXVII        |00 37 27.1|+45 23 13|17.60| 13.19|C          |           0.73|    0.83|           -535|    -7.3|
|NGC4242          |12 17 30.2|+45 37 10|11.59|  9.12|           |          12.63|    7.90|            517|   -18.0|
|IC2233           |08 13 58.9|+45 44 32|13.07| 10.76|           |          16.69|   12.20|            557|   -18.3|
|DDO120           |12 21 15.0|+45 48 41|13.55| 10.77|           |           4.89|    7.06|            463|   -15.8|
|DDO168           |13 14 28.6|+45 55 10|12.97| 11.11|           |           4.79|    4.33|            191|   -15.3|
|NGC2537          |08 13 14.7|+45 59 26|12.27|  9.13|           |           9.54|   12.20|            449|   -18.4|
|CVnHI            |12 20 43.4|+46 12 33|     |      |C          |               |    6.50|            420|        |
|NGC4288          |12 20 38.1|+46 17 30|13.30| 11.30|           |           5.49|    8.05|            533|   -16.4|
|DDO167           |13 13 22.8|+46 19 11|15.45| 13.45|           |           1.32|    4.19|            150|   -12.7|
|And XXIV         |01 18 30.0|+46 21 58|17.20| 12.78|C          |           0.63|    0.60|           -128|    -7.0|
|NGC4144          |12 09 59.3|+46 27 26|12.05|  9.39|           |          12.37|    7.24|            265|   -17.7|
|UGC08215         |13 08 03.6|+46 49 41|16.03| 13.64|C          |           1.12|    4.55|            224|   -12.3|
|d1220+4649       |12 20 55.0|+46 49 45|19.40| 15.23|C          |           0.58|    7.80|               |   -10.1|
|And XXV          |00 30 08.9|+46 51 07|15.90| 11.42|C          |           1.27|    0.81|           -108|    -9.1|
|LV J1218+4655    |12 18 11.1|+46 55 01|16.83| 14.16|C          |           1.68|    6.54|            420|   -12.3|
|KK136            |12 20 40.6|+47 00 03|17.50| 13.33|C          |           1.08|    7.80|               |   -12.0|
|LV J1217+4703    |12 17 10.1|+47 03 49|18.50| 16.09|C          |           0.69|    7.80|               |   -11.0|
|BTS157           |12 51 13.3|+47 04 15|17.50| 15.01|C          |           1.38|    8.83|            572|   -12.4|
|KDG101           |12 19 09.1|+47 05 23|15.75| 13.33|C          |           2.70|    7.24|            132|   -13.6|
|d1219+4705       |12 19 36.8|+47 05 33|18.60| 14.40|C          |           0.67|    7.80|               |   -11.0|
|NGC5194          |13 29 52.7|+47 14 04| 8.61|  5.50|           |          39.25|    8.40|            446|   -21.4|
|NGC5195          |13 29 58.7|+47 16 05|10.45|  6.25|           |          15.79|    7.66|            455|   -19.2|
|NGC4258          |12 18 57.5|+47 18 14| 9.10|  5.46|           |          41.49|    7.83|            447|   -21.2|
|LV J0737+4724    |07 37 28.5|+47 24 33|18.06| 15.28|C          |           2.03|   15.70|            404|   -13.4|
|NGC4248          |12 17 49.9|+47 24 33|13.14| 10.59|           |           7.01|    7.40|            484|   -16.3|
|KK134            |12 19 33.8|+47 27 06|17.00| 12.84|C          |           0.86|    7.80|               |   -12.5|
|[KKH2011]S11     |12 20 30.1|+47 29 25|20.50| 16.33|C          |           0.65|    7.80|               |    -9.0|
|DDO169           |13 15 30.7|+47 29 47|14.46| 12.17|           |           3.65|    4.41|            262|   -13.8|
|KKH38            |06 47 54.9|+47 30 50|17.40| 14.68|C          |           8.24|   19.30|            451|   -14.4|
|UGC07639         |12 29 53.0|+47 31 48|14.13| 11.73|C          |           4.38|    7.14|            385|   -15.2|
|DDO169NW         |13 15 20.1|+47 32 37|18.00| 15.61|C          |           0.94|    4.20|            242|   -10.2|
|And V            |01 10 17.1|+47 37 41|15.92| 11.33|C          |           0.66|    0.81|           -403|    -9.2|
|LV J1203+4739    |12 03 00.0|+47 39 15|17.20| 14.78|C          |           2.02|    7.49|            492|   -12.3|
|BTS132           |12 23 46.2|+47 39 32|18.40| 14.23|C          |           0.89|    7.80|               |   -11.1|
|KK132            |12 19 06.5|+47 43 51|18.50| 14.34|C          |           0.83|    7.80|               |   -11.0|
|KUG 0937+480     |09 40 19.6|+47 46 38|17.00| 14.59|C          |           1.90|    7.88|            546|   -12.6|
|UGC02773         |03 32 07.1|+47 47 37|15.00|  9.77|           |           3.16|    5.40|            216|   -16.1|
|NGC5229          |13 34 02.9|+47 54 55|14.33| 11.67|           |           7.39|    8.00|            359|   -15.6|
|And XXVI         |00 23 45.6|+47 54 58|18.40| 13.88|C          |           0.40|    0.76|           -261|    -6.5|
|NGC0185          |00 38 58.0|+48 20 10| 9.99|  6.56|           |           2.76|    0.61|           -203|   -14.7|
|UGCA281          |12 26 16.0|+48 29 31|15.14| 12.51|           |           1.73|    5.68|            279|   -13.7|
|NGC0147          |00 33 11.6|+48 30 28|10.36|  7.20|           |           3.63|    0.76|           -193|   -14.8|
|LV J0812+4836    |08 12 39.5|+48 36 45|17.10| 14.55|C          |           1.88|   12.42|            521|   -13.6|
|LV J1342+4840    |13 42 20.1|+48 40 57|16.30| 13.91|C          |           1.68|    7.44|            438|   -13.1|
|NGC2541          |08 14 40.1|+49 03 42|12.26| 10.09|           |          26.11|   12.40|            559|   -18.7|
|UGC06541         |11 33 29.1|+49 14 17|14.44| 11.85|           |           1.96|    3.89|            249|   -13.6|
|UGC03501         |06 38 38.4|+49 15 30|16.70| 13.89|C          |           5.42|   15.50|            451|   -14.8|
|LV J1328+4937    |13 28 31.2|+49 37 38|17.30| 14.91|C          |           1.03|    8.02|            395|   -12.3|
|And XXX          |00 36 34.9|+49 38 48|     |      |C          |               |    0.68|           -141|        |
|UGCA361          |13 32 36.2|+49 49 49|16.70| 12.57|C          |           2.24|    8.00|               |   -12.9|
|NGC2552          |08 19 20.5|+50 00 35|12.69| 10.00|           |          13.83|   12.40|            524|   -18.1|
|LV J1000+5022    |10 00 25.5|+50 22 45|17.10| 14.70|C          |           1.34|    7.97|            538|   -12.5|
|Cas dSph         |23 26 31.8|+50 40 32|13.65|  8.79|C          |           0.89|    0.79|           -307|   -11.7|
|NGC2500          |08 01 53.2|+50 44 14|12.23|  9.28|           |          12.31|   12.40|            514|   -18.5|
|Willman1         |10 49 21.0|+51 03 00|16.04| 11.89|C          |           0.04|    0.04|            -12|    -1.9|
|UGC04932         |09 19 34.1|+51 06 33|15.17| 13.15|           |          10.82|   20.60|            549|   -16.6|
|NGC4707          |12 48 22.9|+51 09 53|13.43| 11.73|           |           3.53|    5.80|            468|   -15.5|
|CGCG 262-028     |07 47 32.1|+51 11 29|14.80| 12.81|           |           2.15|    7.10|            454|   -14.8|
|KKH40            |07 46 56.4|+51 17 46|16.60| 14.00|C          |           1.40|    6.98|            445|   -12.9|
|UGC07267         |12 15 23.6|+51 21 00|14.79| 11.94|C          |           7.67|   12.90|            473|   -16.0|
|KKH5             |01 07 32.5|+51 26 25|17.10| 13.63|C          |           1.38|    4.27|             61|   -12.3|
|UGC05047         |09 28 49.6|+51 33 38|16.00| 13.00|C          |           8.93|   19.68|            502|   -15.6|
|UGC07950         |12 46 56.4|+51 36 47|14.60| 12.12|           |           3.58|    8.90|            508|   -15.2|
|NGC5238          |13 34 42.7|+51 36 50|13.55| 11.50|           |           2.75|    4.51|            229|   -14.8|
|UMa I            |10 34 52.8|+51 55 12|15.29| 11.12|C          |           0.50|    0.10|            -55|    -4.8|
|MCG +09-16-010   |09 23 17.0|+51 58 23|16.20| 13.54|C          |           1.98|    7.35|            484|   -13.2|
|KKH6             |01 34 51.6|+52 05 30|17.00| 13.73|           |           1.29|    3.73|             60|   -12.4|
|UGC07298         |12 16 28.6|+52 13 38|15.95| 13.29|           |           1.04|    4.21|            174|   -12.3|
|MCG +09-20-131   |12 15 46.7|+52 23 15|15.30| 12.86|C          |           1.36|    4.59|            159|   -13.1|
|KDG078           |11 29 54.0|+52 24 14|16.70| 14.29|C          |           1.94|    9.00|            575|   -13.1|
|NGC4068          |12 04 02.4|+52 35 19|13.19| 10.76|C          |           3.67|    4.31|            210|   -15.1|
|UGC04879         |09 16 02.2|+52 50 24|13.80| 11.50|           |           1.27|    1.36|            -25|   -11.9|
|SBS 1224+533     |12 26 52.6|+53 06 19|16.10| 13.68|C          |           1.25|    5.35|            300|   -12.6|
|DDO092           |11 13 26.1|+53 35 42|15.60| 13.20|C          |           3.98|    9.90|            928|   -14.4|
|NGC5474          |14 05 02.1|+53 39 47|11.48|  9.48|           |          10.09|    7.20|            288|   -17.9|
|HolmIV           |13 54 45.1|+53 54 17|13.76| 11.04|           |           8.25|    7.21|            140|   -15.6|
|KDG192           |12 43 45.0|+53 57 32|16.60| 14.20|C          |           2.31|    7.45|            443|   -12.8|
|UGC08882         |13 57 14.6|+54 06 03|15.77| 13.72|           |           2.58|    8.32|            348|   -13.9|
