184.4354  33.3453     4.70
188.3537  33.3514     6.90
133.1704  33.4172     7.73
 19.1242  33.4192     0.65
 36.7200  33.4269     9.30
 38.3258  33.4911     9.30
186.4575  33.5461     4.61
202.0146  33.5558     0.22
133.8417  33.5592     7.70
 36.8167  33.5781     9.29
189.2058  33.6133    11.70
 45.7746  33.6944     4.43
141.5392  33.7178    19.70
133.2113  33.7978     7.70
 11.5833  33.8014     0.73
185.7196  33.8286     7.78
 36.8333  33.9583     9.30
194.2917  34.3208     0.16
 11.8625  34.3747     0.83
191.1046  34.3864     9.10
160.6746  34.4489     8.11
194.7583  34.8603     7.30
  4.8838  35.0436     0.93
185.4792  35.0514     9.70
211.7946  35.0603     2.14
  1.8779  35.1322     0.80
188.5229  35.5183     9.80
192.3054  35.6125     4.74
 17.3621  35.7175     3.05
187.1625  35.7181     4.43
208.7029  35.8375     3.08
183.7625  35.9586     8.80
 36.2508  36.0378     9.30
164.1683  36.1411     9.20
183.0371  36.1694     2.94
183.7413  36.2189     2.86
164.4458  36.2608     9.20
183.9121  36.3275     2.94
148.7108  36.3339    15.40
159.0733  36.4253     8.10
182.4850  36.4353     4.83
191.7492  36.4764     5.40
163.0229  36.4767     9.20
  8.8908  36.4978     0.75
163.0729  36.5933     9.20
163.1296  36.6189     9.20
183.4358  36.6333     2.82
163.1700  36.6650     9.20
219.7725  36.8061     9.20
186.7713  37.1425     4.88
187.1188  37.2333     6.89
196.4554  37.6058     4.70
188.2000  37.6217    14.50
184.3746  37.8075     4.49
199.2704  37.9525     5.04
185.4292  37.9872     7.60
190.0087  38.0006     8.50
207.7129  38.0211     3.22
 11.4167  38.0372     0.73
188.2808  38.1161    10.00
 18.5779  38.1175     0.76
185.2287  38.4303     8.03
190.5629  38.5019     4.57
 38.2250  38.6806     9.30
356.3917  38.7178     2.45
 22.3408  38.7189     0.73
189.3388  38.7453     6.61
177.7208  38.8806     2.64
151.8446  38.9697    18.40
188.5025  39.0194     9.20
103.9167  39.0950     7.24
134.7512  39.2100    15.20
  0.0938  39.4956     8.47
 97.6200  39.5039    20.00
205.6358  39.6583     8.90
188.0017  39.8319     6.90
189.0938  40.0053    22.60
115.3575  40.1125     6.85
209.0421  40.3033    10.00
 38.4292  40.5281     9.80
198.2158  40.5431     8.33
 10.6254  40.5758     6.31
204.9742  40.7392     3.01
150.9892  40.7569    16.00
112.0717  40.7703     5.73
350.5275  40.8456     7.90
 10.6754  40.8664     0.49
  1.9333  40.8756     9.60
352.4946  40.9903     9.70
188.7992  41.0608     7.90
192.7229  41.1194     4.66
190.3867  41.1508     7.90
154.5925  41.1658    11.10
154.0650  41.1664    11.12
 10.6854  41.2692     0.77
190.4696  41.2739     7.90
351.1767  41.3481     7.90
154.5708  41.4244    11.12
190.9821  41.4569     6.09
198.8800  41.5014     8.90
187.6517  41.6436     5.80
 10.0938  41.6864     0.82
187.6300  41.7000     5.80
198.2446  41.7867     8.06
127.1188  41.8567    10.28
198.9554  42.0292     8.99
198.4154  42.0442     6.00
187.7875  42.0942     5.80
187.2179  42.1778     8.90
 35.6367  42.3467     9.77
358.6988  42.4708     0.86
157.1375  42.6689     7.55
188.1121  42.7042    11.20
187.5992  42.9014     6.56
 13.2200  43.2000     0.79
187.1842  43.2242     8.90
 40.5450  43.3553     9.30
184.8867  43.3864     8.23
  7.2667  43.4317     6.73
183.8892  43.4342    18.60
186.9242  43.4939     2.74
190.9892  43.6614     4.31
176.7967  43.6719     4.51
187.1871  43.9717     4.07
198.0496  44.0386     6.61
187.0467  44.0944     4.21
  9.2792  44.3222     0.74
192.3792  44.3592     7.84
107.3283  44.3800     7.24
199.3313  44.3967    10.00
107.5567  44.4569     7.87
216.1813  44.5258     2.74
204.1867  44.5992     7.74
225.2887  44.6981     7.40
 16.6404  44.8044     0.63
184.3688  44.8114     9.20
189.9121  44.8208     8.50
187.1908  44.8644     9.59
  0.5604  45.0889     1.36
110.6854  45.1083     8.55
174.0267  45.2853     3.03
  9.3629  45.3869     0.83
184.3758  45.6194     7.90
123.4954  45.7422    12.20
185.3125  45.8114     7.06
198.6192  45.9194     4.33
123.3113  45.9906    12.20
185.1808  46.2092     6.50
185.1587  46.2917     8.05
198.3450  46.3197     4.19
 19.6250  46.3661     0.60
182.4971  46.4572     7.24
197.0150  46.8281     4.55
185.2292  46.8292     7.80
  7.5371  46.8519     0.81
184.5462  46.9169     6.54
185.1692  47.0008     7.80
184.2921  47.0636     7.80
192.8054  47.0708     8.83
184.7879  47.0897     7.24
184.9033  47.0925     7.80
202.4696  47.2344     8.40
202.4946  47.2681     7.66
184.7396  47.3039     7.83
114.3688  47.4092    15.70
184.4579  47.4092     7.40
184.8908  47.4517     7.80
185.1254  47.4903     7.80
198.8779  47.4964     4.41
101.9788  47.5139    19.30
187.4708  47.5300     7.14
198.8338  47.5436     4.20
 17.5712  47.6281     0.81
180.7500  47.6542     7.49
185.9425  47.6589     7.80
184.7771  47.7308     7.80
145.0817  47.7772     7.88
 53.0296  47.7936     5.40
203.5121  47.9153     8.00
  5.9400  47.9161     0.76
  9.7417  48.3361     0.61
186.5667  48.4919     5.68
  8.2983  48.5078     0.76
123.1646  48.6125    12.42
205.5838  48.6825     7.44
123.6671  49.0617    12.40
173.3713  49.2381     3.89
 99.6600  49.2583    15.50
202.1300  49.6272     8.02
  9.1454  49.6467     0.68
203.1508  49.8303     8.00
124.8354  50.0097    12.40
150.1062  50.3792     7.97
351.6325  50.6756     0.79
120.4717  50.7372    12.40
162.3375  51.0500     0.04
139.8921  51.1092    20.60
192.0954  51.1647     5.80
116.8838  51.1914     7.10
116.7350  51.2961     6.98
183.8483  51.3500    12.90
 16.8854  51.4403     4.27
142.2067  51.5606    19.68
191.7350  51.6131     8.90
203.6779  51.6139     4.51
158.7200  51.9200     0.10
140.8208  51.9731     7.35
 23.7150  52.0917     3.73
184.1192  52.2272     4.21
183.9446  52.3875     4.59
172.4750  52.4039     9.00
181.0100  52.5886     4.31
139.0092  52.8400     1.36
186.7192  53.1053     5.35
168.3587  53.5950     9.90
211.2587  53.6631     7.20
208.6879  53.9047     7.21
190.9375  53.9589     7.45
